step,tag,value,logdir
157,eval/MSE,1.0333794355392456,shared=True_LF=0.99_LR=0.01
158,eval/MSE,1.0334100723266602,shared=True_LF=0.99_LR=0.01
159,eval/MSE,1.0334298610687256,shared=True_LF=0.99_LR=0.01
160,eval/MSE,1.033399224281311,shared=True_LF=0.99_LR=0.01
161,eval/MSE,1.0333292484283447,shared=True_LF=0.99_LR=0.01
162,eval/MSE,1.0332027673721313,shared=True_LF=0.99_LR=0.01
163,eval/MSE,1.0329718589782715,shared=True_LF=0.99_LR=0.01
164,eval/MSE,1.0326123237609863,shared=True_LF=0.99_LR=0.01
165,eval/MSE,1.0322139263153076,shared=True_LF=0.99_LR=0.01
166,eval/MSE,1.0318399667739868,shared=True_LF=0.99_LR=0.01
167,eval/MSE,1.0315005779266357,shared=True_LF=0.99_LR=0.01
168,eval/MSE,1.0311224460601807,shared=True_LF=0.99_LR=0.01
169,eval/MSE,1.0307191610336304,shared=True_LF=0.99_LR=0.01
170,eval/MSE,1.0303032398223877,shared=True_LF=0.99_LR=0.01
171,eval/MSE,1.0298843383789062,shared=True_LF=0.99_LR=0.01
172,eval/MSE,1.0294580459594727,shared=True_LF=0.99_LR=0.01
173,eval/MSE,1.0290368795394897,shared=True_LF=0.99_LR=0.01
174,eval/MSE,1.0286214351654053,shared=True_LF=0.99_LR=0.01
175,eval/MSE,1.0282124280929565,shared=True_LF=0.99_LR=0.01
176,eval/MSE,1.027817964553833,shared=True_LF=0.99_LR=0.01
177,eval/MSE,1.027417540550232,shared=True_LF=0.99_LR=0.01
178,eval/MSE,1.0270053148269653,shared=True_LF=0.99_LR=0.01
179,eval/MSE,1.0265969038009644,shared=True_LF=0.99_LR=0.01
180,eval/MSE,1.0261768102645874,shared=True_LF=0.99_LR=0.01
181,eval/MSE,1.0257717370986938,shared=True_LF=0.99_LR=0.01
182,eval/MSE,1.025361180305481,shared=True_LF=0.99_LR=0.01
183,eval/MSE,1.0249450206756592,shared=True_LF=0.99_LR=0.01
184,eval/MSE,1.0245660543441772,shared=True_LF=0.99_LR=0.01
185,eval/MSE,1.0241447687149048,shared=True_LF=0.99_LR=0.01
186,eval/MSE,1.023720145225525,shared=True_LF=0.99_LR=0.01
187,eval/MSE,1.023290753364563,shared=True_LF=0.99_LR=0.01
188,eval/MSE,1.022849440574646,shared=True_LF=0.99_LR=0.01
189,eval/MSE,1.0223802328109741,shared=True_LF=0.99_LR=0.01
190,eval/MSE,1.0218993425369263,shared=True_LF=0.99_LR=0.01
191,eval/MSE,1.0214076042175293,shared=True_LF=0.99_LR=0.01
192,eval/MSE,1.0208898782730103,shared=True_LF=0.99_LR=0.01
193,eval/MSE,1.020361065864563,shared=True_LF=0.99_LR=0.01
194,eval/MSE,1.019822597503662,shared=True_LF=0.99_LR=0.01
195,eval/MSE,1.0192798376083374,shared=True_LF=0.99_LR=0.01
196,eval/MSE,1.0187199115753174,shared=True_LF=0.99_LR=0.01
197,eval/MSE,1.018151879310608,shared=True_LF=0.99_LR=0.01
198,eval/MSE,1.0175758600234985,shared=True_LF=0.99_LR=0.01
199,eval/MSE,1.0169965028762817,shared=True_LF=0.99_LR=0.01
0,eval/Mean Reciprocal Rank,0.007045781705528498,shared=True_LF=0.99_LR=0.01
1,eval/Mean Reciprocal Rank,0.009637280367314816,shared=True_LF=0.99_LR=0.01
2,eval/Mean Reciprocal Rank,0.011005786247551441,shared=True_LF=0.99_LR=0.01
